"sort_to_sheet","mat_type_code","mat_type","first_item_itype","call_number","isbn","bib_record_num","bib_record_id","publish_year","cataloging_date","best_title","best_title_norm","call_number","volume_statement","oldest_hold_date","newest_hold_date","bib_locations","abbv_bib_locations","count_active_holds","count_active_copies","count_copies_on_order"
"clc","a","Book","10","372.64044 qr357","9781932146523","b2547706a","420909342714","2006","2006-07-06","Storytime slam! : 15 lesson plans for preschool and primary story programs","storytime slam 15 lesson plans for preschool and primary story programs","372.64044 qr357","","2019-04-10","2019-04-10","cha,cva,gea,haa,mda,1lj,mta,mwa,pla,pra,shj,wya","ch,cv,ge,ha,md,1l,mt,mw,pl,pr,sh,wy","1","0","0"
"clc","a","Book","2","j398.2","9780907234722","b2204827a","420908999835","1984","1992-03-22","The magic grove : a Persian folktale","magic grove a persian folktale","j398.2","","2018-09-19","2018-09-19","1lj","1l","1","0","0"
"clc","a","Book","2","952.2 qm135 ,     1995","9780872263819","b1615988a","420908410996","1995","1996-09-05","A samurai castle","samurai castle","952.2 qm135 ,     1995","","2019-06-08","2019-06-08","1lj","1l","1","0","0"
"clc","a","Book","2","759.85 ql334 he","9780399215889","b1592834a","420908387842","1988","1998-02-05","A home","home","759.85 ql334 he","","2019-05-30","2019-05-30","1lj","1l","1","0","0"
"clc","a","Book","2","791.06873 v281","9780807506059","b1262999a","420908058007","1983","1992-10-02","Behind the scenes at the amusement park","behind the scenes at the amusement park","791.06873 v281","","2019-05-25","2019-05-25","1lj","1l","1","0","0"
"clc","a","Book","2","796.440922 c678","9780671009458","b1507844a","420908302852","1996","1997-07-03","Gold medal glory : the story of America's 1996 women's gymnastics team","gold medal glory the story of americas 1996 womens gymnastics team","796.440922 c678","","2019-06-10","2019-06-10","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9781601693587","b3242164a","420910037172","2014","2017-03-16","Poke-a-dot : what's your favorite color?","poke a dot whats your favorite color","easy","","2019-05-30","2019-05-30","1cj,osj","1c,os","1","0","0"
"clc","a","Book","2","920.073 k46  ,     1991","9780915793341","b1267998a","420908063006","1991","1991-12-13","Kidstories : biographies of 20 young people you'd like to know","kidstories biographies of 20 young people youd like to know","920.073 k46  ,     1991","","2019-04-15","2019-04-15","osj","os","1","0","0"
"clc","a","Book","2","636.9356 e92","9781564582232","b1289605a","420908084613","1993","1993-08-17","Hamster","hamster","636.9356 e92","","2019-04-19","2019-04-19","1lj,osj","1l,os","1","0","0"
"clc","a","Book","2","easy","9780316255189","b2984794a","420909779802","2014","2014-08-22","I love you, Snugglesaurus!","i love you snugglesaurus","easy","","2019-01-09","2019-01-09","anj,1cj,mnj,osj,whj,wwj","an,1c,mn,os,wh,ww","1","0","0"
"clc","a","Book","2","easy","9781452145167","b3133612a","420909928620","2015","2016-02-04","Vehicles","vehicles","easy","","2019-05-21","2019-05-21","anj,baj,foj,maj,1cj,osj,smj","an,ba,fo,ma,1c,os,sm","1","0","0"
"clc","a","Book","2","973.04927 t284 ,     2003","9781590841020","b1849989a","420908644997","2003","2003-04-01","The Arab Americans","arab americans","973.04927 t284 ,     2003","","2019-03-19","2019-03-19","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9781402787119","b2778925a","420909573933","2007","2011-12-15","Puff the magic dragon : pop-up book","puff the magic dragon pop up book","easy","","2019-06-29","2019-06-29","baj,epj,nsj,nwj,osj","ba,ep,ns,nw,os","1","0","0"
"clc","a","Book","2","398.4 qp655 n","9780803724648","b1866469a","420908661477","2002","2003-04-03","The nightingale","nightingale","398.4 qp655 n","","2018-09-11","2018-09-11","1cj","1c","1","0","0"
"clc","a","Book","2","fiction","9780375812880","b1946926a","420908741934","2001","2001-10-22","Jurassic Park III movie storybook : a storybook","jurassic park iii movie storybook a storybook","fiction","","2019-06-24","2019-06-24","1lj","1l","1","0","0"
"clc","a","Book","2","741.5 h243      2007","9781427802811","b2557402a","420909352410","2007","2009-01-12","Hannah Montana","hannah montana","741.5 h243      2007","v.02","2018-08-14","2018-08-14","bhj,coj,ghj,lvj,mdj,mmj,oaj,prj,whj","bh,co,gh,lv,md,mm,oa,pr,wh","1","0","0"
"clc","a","Book","2","630.92 c331 zc,     1990","9780531108642","b1274843a","420908069851","1990","1991-01-15","George Washington Carver","george washington carver","630.92 c331 zc,     1990","","2019-01-21","2019-01-21","osj","os","1","0","0"
"clc","a","Book","2","easy","9781564026422","b1559142a","420908354150","1995","1995-10-02","Here come the aliens!","here come the aliens","easy","","2019-06-24","2019-06-24","1lj","1l","1","0","0"
"clc","a","Book","2","fiction","9780590691932","b1625875a","420908420883","1997","1997-09-04","Karen's treasure","karens treasure","fiction","","2018-12-27","2018-12-27","1lj,nwj","1l,nw","1","0","0"
"clc","a","Book","2","598.4","","b2359788a","420909154796","1965","1992-06-23","Honker; the story of a wild goose","honker the story of a wild goose","598.4","","2019-04-03","2019-04-03","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780316692700","b1816302a","420908611310","1999","2001-06-15","Things that make you feel good/things that make you feel bad","things that make you feel good things that make you feel bad","easy","","2019-02-21","2019-02-21","osj","os","1","0","0"
"clc","a","Book","2","fiction","","b2485913a","420909280921","1945","1989-04-05","The little fellow.","little fellow","fiction","","2019-04-13","2019-04-13","osj","os","1","0","0"
"clc","a","Book","2","599.364 m128","","b2074864a","420908869872","1951","1992-04-07","Stripe: the story of a chipmunk.","stripe the story of a chipmunk","599.364 m128","","2019-04-03","2019-04-03","1lj","1l","1","0","0"
"clc","a","Book","11","easy","9781564020840","b1404375a","420908199383","1992","1993-03-03","Maisy goes to the playground","maisy goes to the playground","easy","","2018-10-28","2018-10-28","maj,1cj,nsj,osj","ma,1c,ns,os","1","0","0"
"clc","a","Book","2","810.809282 qb879","9780786806287","b1951567a","420908746575","2001","2001-10-22","Mouse of my heart : a treasury of sense and nonsense","mouse of my heart a treasury of sense and nonsense","810.809282 qb879","","2019-07-06","2019-07-06","1lj","1l","1","0","0"
"clc","a","Book","2","508","9780671686468","b1044169a","420907839177","1989","1992-03-22","Quicksand and other earthly wonders","quicksand and other earthly wonders","508","","2019-03-04","2019-03-04","1lj","1l","1","0","0"
"clc","j","Music CD","78","cd-juvenile wiggles w656sp     2006","099923412021","b2546098a","420909341106","2006","2006-06-21","Splish, splash, big red boat! [sound recording]","splish splash big red boat sound recording","cd-juvenile wiggles w656sp     2006","","2019-03-28","2019-03-28","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780545268363","b2822222a","420909617230","2011","2013-01-29","Clifford cares","clifford cares","easy","","2019-06-20","2019-06-20","dtj,grj,1cj,nrj,osj,prj","dt,gr,1c,nr,os,pr","1","0","0"
"clc","a","Book","2","692.22 k86","9780545233330","b2589582a","420909384590","2010","2010-10-04","Monster trucks ; Cool cars","monster trucks cool cars","692.22 k86","","2018-12-10","2018-12-10","anj,cvj,mnj","an,cv,mn","1","0","0"
"clc","a","Book","11","easy","9780763634568","b2682529a","420909477537","2008","2008-08-13","Maisy's nature walk","maisys nature walk","easy","","2018-08-18","2018-08-18","dtj,maj,1lj,nrj,osj,wwj","dt,ma,1l,nr,os,ww","1","0","0"
"clc","a","Book","2","419","","b1413899a","420908208907","1973","1992-03-22","The three little kittens in Signed English. / Prepared under the supervision of the staff of the Pre-school Signed English Project : Barbara M. Kannapell... [et al.]","three little kittens in signed english","419","","2019-07-01","2019-07-01","osj","os","1","0","0"
"clc","a","Book","2","fiction","9780590456579","b1344415a","420908139423","1992","1994-07-08","Keep out, Claudia!","keep out claudia","fiction","","2018-11-05","2018-11-05","avj","av","1","0","0"
"clc","a","Book","2","741.5 p1522     2005","9781595325587","b2576067a","420909371075","2005","2006-08-04","Blazin' barrels","blazin barrels","741.5 p1522     2005","v.06","2017-05-25","2017-05-25","baj,crj,mmj,sbj,wtj","ba,cr,mm,sb,wt","1","0","0"
"clc","i","Book on CD","71","cdw 02981","9780618603862","b2633897a","420909428905","2005","2005-10-06","Curious George goes to a movie [sound recording]","curious george goes to a movie sound recording","cdw 02981","","2017-08-16","2017-08-16","osj","os","1","0","0"
"clc","a","Book","2","easy","9780374383138","b2701002a","420909496010","2006","2007-02-20","When I grow up, I will win the Nobel Peace Prize","when i grow up i will win the nobel peace prize","easy","","2019-05-18","2019-05-18","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780764165986","b2841637a","420909636645","2013","2013-04-29","Little Red Riding Hood","little red riding hood","easy","","2019-03-26","2019-03-26","chj,maj,1cj,mmj,mnj,nrj,osj,wyj","ch,ma,1c,mm,mn,nr,os,wy","1","0","0"
"clc","a","Book","2","743.673 ql478 ,     2002","9780823957880","b1867064a","420908662072","2002","2003-04-08","How to draw sharks","how to draw sharks","743.673 ql478 ,     2002","","2019-07-01","2019-07-01","1lj","1l","1","0","0"
"clc","a","Book","2","easy","","b2364655a","420909159663","1965","1994-09-26","Wild ducks and daffodils","wild ducks and daffodils","easy","","2019-04-25","2019-04-25","1lj","1l","1","0","0"
"clc","a","Book","2","323.650973 qb435 pzp","9780439241847","b1920082a","420908715090","2001","2001-09-12","The pledge of allegiance.","pledge of allegiance","323.650973 qb435 pzp","","2019-06-17","2019-06-17","1lj","1l","1","0","0"
"clc","a","Book","2","741.5 qa786 ,     2001","9780806948140","b1983749a","420908778757","2001","2001-11-30","Cartooning for kids","cartooning for kids","741.5 qa786 ,     2001","","2019-06-17","2019-06-17","grj,whj","gr,wh","1","0","0"
"clc","a","Book","2","easy","9780794421243","b2662884a","420909457892","2011","2011-02-16","Farm friends","farm friends","easy","","2019-05-05","2019-05-05","chj,clj,lvj,mmj,mwj,osj,rej,wwj","ch,cl,lv,mm,mw,os,re,ww","1","0","0"
"clc","a","Book","2","972","9780531045305","b2381319a","420909176327","1983","1992-03-22","Mexico","mexico","972","","2019-01-13","2019-01-13","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780740777349","b2566052a","420909361060","2008","2009-02-12","Bee & me","bee and me","easy","","2019-04-26","2019-04-26","bhj","bh","1","0","0"
"clc","a","Book","2","easy","9781592233564","b2733073a","420909528081","2004","2007-05-01","Snappy sounds vroom! : with fun vehicle sounds","snappy sounds vroom with fun vehicle sounds","easy","","2019-04-07","2019-04-07","foj,1lj,mwj,osj,plj,shj,wyj","fo,1l,mw,os,pl,sh,wy","1","0","0"
"clc","a","Book","2","fiction","9780723262527","b2005340a","420908800348","1984","1992-03-22","Clancy's coat","clancys coat","fiction","","2019-06-25","2019-06-25","1lj,smj","1l,sm","1","0","0"
"clc","a","Book","2","easy","9780399257759","b2734416a","420909529424","2012","2012-06-01","Spot loves sports","spot loves sports","easy","","2019-04-22","2019-04-22","bhj,chj,haj,1cj,osj,rej","bh,ch,ha,1c,os,re","1","0","0"
"clc","a","Book","2","796.352092 w897 zc","9780316134453","b1810979a","420908605987","1998","1999-02-04","On the course with-- Tiger Woods","on the course with tiger woods","796.352092 w897 zc","","2019-04-16","2019-04-16","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780694015702","b1870681a","420908665689","2001","2002-10-21","Stuart and Snowbell","stuart and snowbell","easy","","2019-07-02","2019-07-02","maj,1lj","ma,1l","1","0","0"
"clc","a","Book","2","791.453 l678 ,     2000","9780689840173","b1821280a","420908616288","2000","2002-09-16","SpongeBob Squarepants : joke book","spongebob squarepants joke book","791.453 l678 ,     2000","","2019-06-05","2019-06-05","crj,1lj","cr,1l","1","0","0"
"clc","a","Book","2","easy","9780753458402","b2601999a","420909397007","2005","2005-04-29","Animal babies around the house","animal babies around the house","easy","","2019-03-14","2019-03-14","osj","os","1","0","0"
"clc","a","Book","2","793.74 b658 m","9780806905822","b1433293a","420908228301","1994","1994-11-09","Math tricks, puzzles & games","math tricks puzzles and games","793.74 b658 m","","2019-06-06","2019-06-06","1lj,nrj","1l,nr","1","0","0"
"clc","a","Book","2","158.2 b5341me,     1988","","b1972349a","420908767357","1988","1999-07-27","A children's book about being mean","childrens book about being mean","158.2 b5341me,     1988","","2018-10-17","2018-10-17","1lj","1l","1","0","0"
"clc","a","Book","2","fiction","9781878685438","b1311340a","420908106348","1993","1994-05-24","The pagemaster","pagemaster","fiction","","2019-06-18","2019-06-18","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780545268370","b2822217a","420909617225","2012","2013-01-10","Clifford shares","clifford shares","easy","","2019-06-20","2019-06-20","anj,coj,grj,lvj,maj,1cj,nrj,nsj,osj,plj,prj","an,co,gr,lv,ma,1c,nr,ns,os,pl,pr","1","0","0"
"clc","j","Music CD","78","cd-juvenile thats t367k     2005","050086127771","b2551810a","420909346818","2005","2007-11-12","That's so Raven [sound recording]","thats so raven sound recording","cd-juvenile thats t367k     2005","","2019-01-11","2019-01-11","coj,1cj","co,1c","1","0","0"
"clc","a","Book","2","easy","9780689820588","b1870378a","420908665386","1998","2000-05-18","The foolish tortoise","foolish tortoise","easy","","2019-05-02","2019-05-02","osj","os","1","0","0"
"clc","a","Book","2","741.2 qb355","9780824984755","b1334922a","420908129930","1993","1993-09-28","The drawing book","drawing book","741.2 qb355","","2019-07-02","2019-07-02","1lj","1l","1","0","0"
"clc","a","Book","2","easy","9780689859731","b1944406a","420908739414","2003","2003-06-06","What daddies do best","what daddies do best","easy","","2019-05-24","2019-05-24","osj,wyj","os,wy","1","0","0"
"clc","a","Book","2","598.2","","b2049763a","420908844771","1968","1992-04-08","Redbird, the story of a cardinal,","redbird the story of a cardinal","598.2","","2019-01-31","2019-01-31","1lj","1l","1","0","0"
